speaker_id,accent,word,distance,n_ref,speaker_dur,am_dur,norm_dist,all_dur
speaker_01,Nigerian,earlier,20.72340096715436,13,0.84,1.17538,0.3526233,1.17673
speaker_01,Nigerian,this,2.834620140174791,13,0.3,0.33385,0.169816,0.31423
speaker_01,Nigerian,year,1.775678885972714,13,0.34,0.36923,0.0961826,0.38654
speaker_01,Nigerian,i,4.422750084089963,13,0.34,0.15846,0.2601618,0.22445
speaker_01,Nigerian,committed,3.185534122542748,13,0.38,0.29077,0.1676597,0.31769
speaker_01,Nigerian,to,2.882926647113415,13,0.34,0.25538,0.1695839,0.22204
speaker_01,Nigerian,finishing,2.9060210176683205,13,0.4,0.28308,0.1453011,0.33551
speaker_01,Nigerian,a,4.126468551850354,13,0.52,0.26,0.1587103,0.14945
speaker_01,Nigerian,client,2.983431005962676,13,0.4,0.24615,0.1491716,0.26028
speaker_01,Nigerian,report,2.6873431042671174,13,0.36,0.26308,0.1492968,0.2532
speaker_01,Nigerian,by,2.390958415739871,13,0.38,0.32923,0.1258399,0.36943
speaker_01,Nigerian,thursday,12.140130388692494,13,0.8,0.34923,0.3035033,0.40113
speaker_01,Nigerian,for,2.2169196441226986,13,0.38,0.33538,0.11668,0.42
speaker_01,Nigerian,friday,3.5356437469648148,13,0.32,0.24308,0.2209777,0.23689
speaker_01,Nigerian,meeting,9.193518221138094,13,0.64,0.49846,0.2872974,0.38962
speaker_01,Nigerian,but,2.0948186351382945,11,0.12,0.08308,0.3491364,0.08039
speaker_01,Nigerian,on,1.195047569511268,13,0.14,0.14615,0.1635328,0.17214
speaker_01,Nigerian,my,2.8252873252294486,13,0.16,0.19077,0.2961995,0.17673
speaker_01,Nigerian,manager,3.572017597833346,13,0.32,0.33846,0.2110738,0.36519
speaker_01,Nigerian,needed,2.792073665395889,13,0.34,0.30615,0.1642396,0.30431
speaker_01,Nigerian,help,4.007144578056988,13,0.5,0.32923,0.1602858,0.39132
speaker_01,Nigerian,with,3.0380071032045968,13,0.24,0.25231,0.2408176,0.24113
speaker_01,Nigerian,an,3.7030457909338304,13,0.26,0.13692,0.2848497,0.1812
speaker_01,Nigerian,urgent,3.2968209622724363,13,0.42,0.30462,0.1569915,0.34769
speaker_01,Nigerian,compliance,9.430103504163036,13,0.68,0.36769,0.277356,0.37647
speaker_01,Nigerian,request,11.019439138359674,13,0.78,0.45231,0.2825497,0.5372
speaker_01,Nigerian,that,3.700308473338077,13,0.4,0.4,0.1850154,0.51492
speaker_01,Nigerian,had,3.2614696102622265,13,0.24,0.17231,0.2717891,0.21292
speaker_01,Nigerian,deadline,7.393070078506487,13,0.56,0.61077,0.2420905,0.3658
speaker_01,Nigerian,realized,15.615597694764658,13,1.0,0.33231,0.312312,0.36857
speaker_01,Nigerian,couldn't,3.976933343333592,12,0.46,0.24333,0.1729101,0.2902
