speaker_id,accent,word,distance,n_ref,speaker_dur,am_dur,norm_dist,all_dur
speaker_01,Nigerian,i,22.597003976039044,13,0.8,1.20154,0.3761345,0.27348
speaker_01,Nigerian,had,3.1413205874040573,13,0.16,0.22769,0.2759268,0.20838
speaker_01,Nigerian,a,1.1172789237325875,12,0.08,0.09538,0.2342682,0.11312
speaker_01,Nigerian,client,3.2651973436209523,13,0.44,0.33538,0.1484181,0.36314
speaker_01,Nigerian,who,4.701934704355154,13,0.44,0.19846,0.2137243,0.25692
speaker_01,Nigerian,wanted,4.866199806912489,13,0.36,0.32769,0.2703444,0.29448
speaker_01,Nigerian,to,2.095013608545448,13,0.22,0.20154,0.1904558,0.21731
speaker_01,Nigerian,put,2.600377723093147,13,0.26,0.17692,0.2000291,0.21255
speaker_01,Nigerian,lot,2.009469000704384,13,0.26,0.19692,0.1545745,0.21529
speaker_01,Nigerian,of,2.3862694539133624,13,0.16,0.11846,0.2982837,0.215
speaker_01,Nigerian,their,2.9931172967775805,13,0.26,0.17538,0.2302398,0.22955
speaker_01,Nigerian,portfolio,4.233541021273681,13,0.48,0.35385,0.1763975,0.44923
speaker_01,Nigerian,in,5.474374133619031,13,0.5,0.42769,0.218975,0.33353
speaker_01,Nigerian,one,1.5649835133020569,13,0.22,0.23692,0.132109,0.24308
speaker_01,Nigerian,tech,1.1929566042685242,13,0.24,0.27385,0.087126,0.27038
speaker_01,Nigerian,stock,1.1235426340729415,13,0.26,0.22923,0.0864264,0.28699
speaker_01,Nigerian,because,5.195498533227323,13,0.44,0.48308,0.2151003,0.49451
speaker_01,Nigerian,they,1.8792996018796209,13,0.06,0.20308,0.1850825,0.18034
speaker_01,Nigerian,worked,9.20964568099554,13,0.66,0.25692,0.2790802,0.31292
speaker_01,Nigerian,that,2.535634134851352,13,0.22,0.10769,0.2305122,0.17949
speaker_01,Nigerian,industry,8.660064048228158,13,0.58,0.35846,0.2986229,0.33534
speaker_01,Nigerian,and,2.3861366966916724,13,0.32,0.26923,0.1491335,0.43828
speaker_01,Nigerian,felt,4.247624215800777,13,0.32,0.16769,0.2654765,0.26198
speaker_01,Nigerian,confident,4.4724077390870525,13,0.52,0.46462,0.1720157,0.47231
speaker_01,Nigerian,about,2.6624485874499624,13,0.34,0.26615,0.1566146,0.27569
speaker_01,Nigerian,it,2.8036324114497804,13,0.4,0.28769,0.1401816,0.32602
speaker_01,Nigerian,recommended,3.77138548423009,13,0.4,0.39077,0.1885693,0.40385
speaker_01,Nigerian,more,3.5519901650821715,13,0.36,0.42923,0.1655049,0.43038
speaker_01,Nigerian,diversification,8.243915975898021,13,0.62,0.66615,0.2475079,0.60738
speaker_01,Nigerian,based,11.713904222911568,13,0.14,0.67846,0.3453078,0.7
speaker_01,Nigerian,on,1.9913756081980936,13,0.2,0.27077,0.1470902,0.24981
speaker_01,Nigerian,risk,2.981067079905211,13,0.34,0.23231,0.1753569,0.32447
speaker_01,Nigerian,tolerance,10.082889490423078,13,0.76,0.64769,0.2653392,0.76
speaker_01,Nigerian,pushed,2.6090823523236466,13,0.3,0.23846,0.1739388,0.28824
speaker_01,Nigerian,back,0.7823679018531137,13,0.24,0.25077,0.0623974,0.27098
speaker_01,Nigerian,good,2.468602747389627,13,0.26,0.19231,0.1898925,0.25846
speaker_01,Nigerian,insight,8.263553197187807,13,0.62,0.57538,0.2665662,0.64667
speaker_01,Nigerian,instead,5.733842001966427,13,0.08,0.39692,0.2889145,0.30423
speaker_01,Nigerian,just,3.942195363522911,13,0.26,0.19692,0.3032458,0.2317
speaker_01,Nigerian,agreeing,11.008219165308146,13,0.74,0.35077,0.2975194,0.39796
speaker_01,Nigerian,or,4.344527747942118,13,0.48,0.33846,0.181022,0.35714
speaker_01,Nigerian,arguing,6.7873941334403485,13,0.62,0.54,0.2189482,0.60906
speaker_01,Nigerian,asked,4.4178549355600225,13,0.46,0.25692,0.1920806,0.30308
speaker_01,Nigerian,them,6.633720154046604,13,0.46,0.13846,0.2884226,0.16846
speaker_01,Nigerian,walk,3.452031013171348,13,0.34,0.19692,0.2030606,0.22235
speaker_01,Nigerian,me,3.403281912096337,13,0.26,0.17231,0.2617909,0.16346
speaker_01,Nigerian,through,3.428769836797142,13,0.36,0.20923,0.1904872,0.24942
speaker_01,Nigerian,thinking,4.270908406843524,13,0.46,0.31538,0.1856917,0.32923
speaker_01,Nigerian,so,14.079729080885642,13,0.9,0.33077,0.3128829,0.41895
speaker_01,Nigerian,could,4.360901599182626,13,0.26,0.18,0.335454,0.17472
speaker_01,Nigerian,understand,3.095144724778346,13,0.42,0.35692,0.1473878,0.38577
speaker_01,Nigerian,better,3.087926389532275,13,0.38,0.38923,0.1586682,0.46885
speaker_01,Nigerian,then,11.15609241388097,12,0.7,0.31231,0.3187455,0.3352
speaker_01,Nigerian,we,2.745835633662125,13,0.22,0.18923,0.2496214,0.13371
speaker_01,Nigerian,talked,4.7298446699084336,12,0.52,0.26667,0.1819171,0.35522
speaker_01,Nigerian,some,5.720569393759865,13,0.48,0.21846,0.2383571,0.304
speaker_01,Nigerian,scenarios,7.4380623081064865,13,0.46,0.62923,0.2364176,0.65115
speaker_01,Nigerian,like,5.299147868195804,13,0.46,0.41077,0.2303977,0.52264
speaker_01,Nigerian,what,4.703478712643127,13,0.34,0.31846,0.2766752,0.30377
speaker_01,Nigerian,would,2.922473323500874,13,0.22,0.13538,0.2656794,0.17885
speaker_01,Nigerian,happen,2.9536185900596235,13,0.4,0.25846,0.1476809,0.29692
speaker_01,Nigerian,if,3.055180965766752,13,0.3,0.22308,0.2036787,0.27962
speaker_01,Nigerian,dropped,6.182724021322171,13,0.2,0.55077,0.2245123,0.64
speaker_01,Nigerian,knew,3.31857200431931,10,0.34,0.17231,0.1952101,0.20038
speaker_01,Nigerian,the,4.009450815346293,10,0.24,0.13692,0.3341209,0.15279
speaker_01,Nigerian,well,2.6602417354619563,10,0.42,0.32615,0.1266782,0.32157
speaker_01,Nigerian,but,6.012134695832186,10,0.54,0.17077,0.2226717,0.21067
speaker_01,Nigerian,explained,4.011991230992214,10,0.5,0.29538,0.1604796,0.30204
speaker_01,Nigerian,was,9.611379310092314,10,0.64,0.39692,0.3003556,0.37692
speaker_01,Nigerian,managing,8.258651911419081,9,0.62,0.27231,0.2664081,0.29804
speaker_01,Nigerian,ended,2.9796020077827317,5,0.22,0.09692,0.2708729,0.12275
speaker_01,Nigerian,up,2.3766332410118043,5,0.24,0.06154,0.1980528,0.08962
speaker_01,Nigerian,compromising,14.007493997364946,5,0.86,0.34154,0.3257557,0.39577
speaker_01,Nigerian,kept,4.462601910562399,3,0.5,0.05833,0.1785041,0.12039
speaker_01,Nigerian,bigger,11.54263904898496,3,0.74,0.05231,0.3119632,0.1
speaker_01,Nigerian,position,15.50231732798371,3,1.0,0.09538,0.3100463,0.19125
speaker_01,Nigerian,than,17.93826387594277,3,0.4,0.22154,0.8969132,0.2148
speaker_01,Nigerian,suggested,8.467493088927668,3,0.42,0.14923,0.403214,0.26769
speaker_01,Nigerian,not,5.14114628383737,3,0.32,0.08615,0.3213216,0.12192
speaker_01,Nigerian,as,3.3667048964292854,3,0.5,0.08462,0.1346682,0.15845
speaker_01,Nigerian,concentrated,14.265438215173797,3,1.06,0.18308,0.2691592,0.21961
speaker_01,Nigerian,appreciated,7.773332120999797,3,0.62,0.12923,0.2507526,0.18549
speaker_01,Nigerian,listened,5.164494933391596,3,0.4,0.11846,0.2582247,0.2044
speaker_09,Nigerian,i,24.70874582850471,13,0.44,1.20154,0.4112851,0.27348
speaker_09,Nigerian,had,3.628230869866419,13,0.14,0.22769,0.318696,0.20838
speaker_09,Nigerian,client,2.1839721946949635,13,0.28,0.33538,0.1302369,0.36314
