speaker_id,accent,word,distance,n_ref,speaker_dur,am_dur,norm_dist,all_dur
speaker_01,Nigerian,i,23.464790659492493,13,0.92,1.27385,0.3684085,0.39785
speaker_01,Nigerian,had,2.7788542322422964,13,0.3,0.26308,0.1852569,0.20291
speaker_01,Nigerian,a,1.1408721274142233,12,0.08,0.09538,0.2392151,0.1612
speaker_01,Nigerian,client,4.065404928282228,13,0.48,0.32615,0.1693919,0.35569
speaker_01,Nigerian,who,1.984974531511437,13,0.2,0.20154,0.1969822,0.22231
speaker_01,Nigerian,wanted,3.0011633218169256,13,0.36,0.24923,0.1667313,0.29346
speaker_01,Nigerian,to,3.553694865003081,13,0.26,0.19846,0.2733611,0.23769
speaker_01,Nigerian,open,4.304501303197085,13,0.46,0.22769,0.1871522,0.28038
speaker_01,Nigerian,retirement,3.3920479048413386,13,0.42,0.33846,0.1615261,0.36885
speaker_01,Nigerian,account,4.320235348395666,13,0.52,0.44615,0.1661629,0.44769
speaker_01,Nigerian,but,5.094572071558961,13,0.58,0.37231,0.1756749,0.53148
speaker_01,Nigerian,didn't,3.4131199834899766,13,0.42,0.26615,0.1625295,0.32385
speaker_01,Nigerian,understand,5.5954421015264915,13,0.58,0.32,0.1929463,0.37654
speaker_01,Nigerian,the,2.7430436520549457,13,0.3,0.22615,0.1828696,0.25404
speaker_01,Nigerian,difference,2.611954090728228,13,0.36,0.23846,0.1451086,0.26962
speaker_01,Nigerian,between,2.900042472288052,13,0.14,0.19385,0.2992107,0.27077
speaker_01,Nigerian,traditional,3.979604612416706,12,0.54,0.305,0.1473928,0.36824
speaker_01,Nigerian,ira,9.248115339877543,13,0.68,0.48154,0.2720034,0.60588
speaker_01,Nigerian,and,18.772220802336665,13,1.16,0.43077,0.323659,0.41934
speaker_01,Nigerian,roth,1.2728190614513009,13,0.28,0.21846,0.0909156,0.20105
speaker_01,Nigerian,asked,1.6664730499823608,13,0.28,0.28462,0.1171035,0.31615
speaker_01,Nigerian,them,3.0142498370310498,13,0.22,0.14615,0.2740227,0.28057
speaker_01,Nigerian,some,2.541056885168344,13,0.18,0.18615,0.2730061,0.22038
speaker_01,Nigerian,questions,3.7981623713479,13,0.52,0.39692,0.1460832,0.44596
speaker_01,Nigerian,about,2.793918623802106,13,0.3,0.27231,0.1862612,0.33962
speaker_01,Nigerian,their,2.446403800726068,13,0.3,0.21692,0.1630936,0.22346
