speaker_id,accent,word,distance,n_ref,speaker_dur,am_dur,norm_dist,all_dur
speaker_01,Nigerian,i,23.227967459135627,13,0.76,1.16615,0.3983688,0.46557
speaker_01,Nigerian,graduated,10.349015061693883,13,0.4,0.71077,0.2912061,0.65098
speaker_01,Nigerian,three,3.9642499785885126,13,0.5,0.32,0.15857,0.32538
speaker_01,Nigerian,years,1.444373984661904,13,0.26,0.24154,0.1111057,0.25231
speaker_01,Nigerian,ago,2.644529708688819,13,0.28,0.32769,0.1614032,0.31154
speaker_01,Nigerian,and,7.933593411623942,13,0.6,0.31077,0.2644531,0.36441
speaker_01,Nigerian,i've,2.172753232647221,13,0.22,0.27385,0.1586842,0.23409
speaker_01,Nigerian,been,3.2963609561336304,13,0.24,0.11077,0.2746967,0.16423
speaker_01,Nigerian,working,3.1185397758233715,13,0.44,0.27077,0.1417518,0.29885
speaker_01,Nigerian,in,4.52315807959705,13,0.52,0.23692,0.1739676,0.22731
speaker_01,Nigerian,customer,3.860681768203645,13,0.46,0.29385,0.1678557,0.34769
speaker_01,Nigerian,service,7.983271849196637,12,0.56,0.415,0.2851169,0.47224
speaker_01,Nigerian,client,3.0626373301665755,13,0.38,0.30769,0.1611914,0.34776
speaker_01,Nigerian,roles,8.578678962733862,13,0.58,0.25385,0.2958165,0.32122
speaker_01,Nigerian,since,2.786658938030101,13,0.34,0.32154,0.1639211,0.36078
speaker_01,Nigerian,then,3.431026407483502,13,0.3,0.40923,0.1676817,0.4284
speaker_01,Nigerian,most,10.56516080426783,13,0.72,0.41231,0.2934767,0.40077
speaker_01,Nigerian,recently,3.5947248006783874,13,0.5,0.43846,0.143789,0.47923
speaker_01,Nigerian,was,6.092069005288163,13,0.48,0.17231,0.2538362,0.1949
speaker_01,Nigerian,at,3.239108184300218,13,0.28,0.16769,0.2313649,0.19373
speaker_01,Nigerian,a,1.6915982240974587,13,0.16,0.11077,0.2114498,0.094
speaker_01,Nigerian,financial,9.7045409043049,13,0.68,0.30923,0.2854277,0.30173
speaker_01,Nigerian,firm,9.579547431278554,13,0.7,0.53692,0.2737014,0.52462
speaker_01,Nigerian,helping,8.906020411707003,13,0.62,0.50769,0.287291,0.63654
speaker_01,Nigerian,onboard,4.248985482752139,12,0.48,0.33167,0.1770411,0.35191
speaker_01,Nigerian,clients,7.291726629087705,13,0.54,0.47538,0.2700639,0.55115
speaker_01,Nigerian,answer,7.8567115127468,13,0.6,0.34154,0.2618904,0.36612
